10520GE 122400	 | 	Freedom and Action	 | 	2	 | 	WaWb	 | 	D-Ren	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510HSS 370100	 | 	Gender and Religion	 | 	3	 | 	W2W3W4	 | 	HSSC205	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510HSS 391000	 | 	Gender and Writing	 | 	3	 | 	T3T4Tn	 | 	HSSC507	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510GE 139400	 | 	Gender Thinking	 | 	3	 | 	M7M8M9	 | 	EDU 307	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10520HSS 373200	 | 	Genders, Bodies and Time in Science Fiction	 | 	3	 | 	M7M8M9	 | 	HSSD202	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510PHYS241000	 | 	General Astronomy (I)	 | 	3	 | 	M7M8M9	 | 	PHYS 019	 | 	Optional	 | 	GE_naturalSciences	 | 	BasicScience
10520PHYS242000	 | 	General Astronomy (II)	 | 	3	 | 	M7M8M9	 | 	PHYS 019	 | 	Optional	 | 	GE_naturalSciences	 | 	BasicScience
10510GEC 140400	 | 	Global Political Economy	 | 	3	 | 	W2W3W4	 | 	EDU 309	 | 	Optional	 | 	GE_core4	 | 	-
10520GEC 140400	 | 	Global Political Economy	 | 	3	 | 	R3R4Rn	 | 	EDU 309	 | 	Optional	 | 	GE_core4	 | 	 - 
10520BMES432200	 | 	Global Warming and Environmental Impact	 | 	2	 | 	R7R8	 | 	BMES301	 | 	Optional	 | 	GE_naturalSciences	 | 	BasicScience
10520GE 185200	 | 	Green Energy	 | 	3	 | 	R2R3R4	 | 	MXIC253	 | 	Optional	 | 	GE_naturalSciences	 | 	SciTechSociety
10520GE 138500	 | 	Having Fun with Economic History	 | 	3	 | 	M2M3M4	 | 	EDU 307	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10520HIS 233700	 | 	Historical Thinking	 | 	2	 | 	T3T4	 | 	HSSD202	 | 	Optional	 | 	GE_core6	 | 	 - 
10520HIS 212600	 | 	Historiography of Tzu-chih t'ung-chien: Narratives of the Decline and Fall of Western Jin Dynasty	 | 	2	 | 	R5R6	 | 	EDU 307	 | 	Optional	 | 	GE_core6	 | 	 - 
10520HIS 211100	 | 	Historiography of Tzu-chih t'ung-chien: Narratives of warfare	 | 	2	 | 	F3F4	 | 	EDU 307	 | 	Optional	 | 	GE_core6	 | 	 - 
10520HIS 233601	 | 	History and Modern World: Shaping of Modern China	 | 	3	 | 	M2M3M4	 | 	HSSD301	 | 	Optional	 | 	GE_core6	 | 	 - 
10520HIS 233602	 | 	History and Modern World: Shaping of Modern China	 | 	3	 | 	T2T3T4	 | 	HSSD301	 | 	Optional	 | 	GE_core6	 | 	 - 
10510HIS 233300	 | 	History and the Modern World: the Making of the Modern World	 | 	2	 | 	T5T6	 | 	MXIC253	 | 	Optional	 | 	GE_core6	 | 	-
10520HIS 233300	 | 	History and the Modern World: the Making of the Modern World	 | 	2	 | 	T5T6	 | 	HSSC411	 | 	Optional	 | 	GE_core6	 | 	 - 
10510GE 116600	 | 	History of Chinese Crafts and Decorative Arts	 | 	2	 | 	R5R6	 | 	EDU 314	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10520GE 116600	 | 	History of Chinese Crafts and Decorative Arts	 | 	2	 | 	R5R6	 | 	EDU 314	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10510HSS 310400	 | 	History of Monsoon Asia	 | 	3	 | 	F3F4Fn	 | 	HSSB413	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10520HSS 310600	 | 	History of Science and Technology	 | 	3	 | 	R7R8R9	 | 	HSSA302	 | 	Optional	 | 	GE_humanities	 | 	HumaneHistorical
10510GE 124600	 | 	History of Western Music	 | 	3	 | 	W3W4Wn	 | 	EDU 310	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10520GE 124600	 | 	History of Western Music	 | 	3	 | 	W3W4Wn	 | 	EDU 310	 | 	Optional	 | 	GE_humanities	 | 	GeneralArt
10520HSS 323000	 | 	History of Western Philosophy 1	 | 	3	 | 	W3W4Wn	 | 	HSSC204	 | 	Optional	 | 	GE_humanities	 | 	PhilosReligious
10510HIS 233100	 | 	How to learn and think history?	 | 	2	 | 	W1W2	 | 	EDU 307	 | 	Optional	 | 	GE_core6	 | 	-
10510TE 224400	 | 	Human Relations and Communication	 | 	2	 | 	R3R4	 | 	EDU 211	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510GE 136500	 | 	Human Resource Management-- fundamentals and Practice	 | 	2	 | 	T5T6	 | 	EDU 309	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10520GE 136500	 | 	Human Resource Management-- fundamentals and Practice	 | 	2	 | 	R3R4	 | 	EDU 311	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10510BMES433100	 | 	Impact of Global Energy Shortage	 | 	2	 | 	R7R8	 | 	BMES301	 | 	Optional	 | 	GE_naturalSciences	 | 	BasicScience
10510GE 151400	 | 	India Civilization and Contemporary Society	 | 	2	 | 	W5W6	 | 	EDU 309	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10520GE 151400	 | 	India Civilization and Contemporary Society	 | 	2	 | 	R7R8	 | 	EDU 309	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
10510GE 197200	 | 	Industrial & Social Aspects of IC Design	 | 	3	 | 	M7M8M9	 | 	DELTA210	 | 	Optional	 | 	GE_naturalSciences	 | 	SciTechSociety
10510GE 140500	 | 	Industry Innovation and Career development	 | 	2	 | 	TaTb	 | 	D-Shi	 | 	Optional	 | 	GE_socialSciences	 | 	MIE
10510GE 115500	 | 	Innovation and Entrepreneurship	 | 	2	 | 	T5T6	 | 	DELTA105	 | 	Optional	 | 	GE_naturalSciences	 | 	SciTechSociety
10520HSS 300200	 | 	Interdisciplinary Dialogue: Social Science	 | 	3	 | 	M7M8M9	 | 	HSSD302	 | 	Optional	 | 	GE_socialSciences	 | 	SPAEGS
