10520PE 206028	 | 	Swimming(advance)	 |	0	 | 	T5T6	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10510PE 205002	 | 	Swimming(basic)	 |	0	 | 	M3M4	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10510PE 205010	 | 	Swimming(basic)	 |	0	 | 	T3T4	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10510PE 205041	 | 	Swimming(basic)	 |	0	 | 	W3W4	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10510PE 205077	 | 	Swimming(basic)	 |	0	 | 	R7R8	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10520PE 112007	 | 	Swimming(basic)	 |	0	 | 	M5M6	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10520PE 206003	 | 	Swimming(basic)	 |	0	 | 	M3M4	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10520PE 206015	 | 	Swimming(basic)	 |	0	 | 	T3T4	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10520PE 206043	 | 	Swimming(basic)	 |	0	 | 	W3W4	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10520PE 206076	 | 	Swimming(basic)	 |	0	 | 	R7R8	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10510PE 205093	 | 	Tae kwon do	 |	0	 | 	M7M8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Martial
10520PE 112003	 | 	Tae kwon do	 |	0	 | 	M5M6	 | 	STC Mengmin 101	 | 	Optional	 | 	 - 	 | 	Martial
10520PE 112011	 | 	Tae kwon do	 |	0	 | 	M7M8	 | 	STC Mengmin 101	 | 	Optional	 | 	 - 	 | 	Martial
10510PE 205023	 | 	Tai Chi	 |	0	 | 	T5T6	 | 	STC Mengmin 101	 | 	Optional	 | 	 - 	 | 	Martial
10510PE 205034	 | 	Tai Chi	 |	0	 | 	T7T8	 | 	STC Mengmin 101	 | 	Optional	 | 	 - 	 | 	Martial
10520PE 206029	 | 	Tai Chi	 |	0	 | 	T5T6	 | 	STC Mengmin 101	 | 	Optional	 | 	 - 	 | 	Martial
10520PE 206039	 | 	Tai Chi	 |	0	 | 	T7T8	 | 	STC Mengmin 101	 | 	Optional	 | 	 - 	 | 	Martial
10510PE 205015	 | 	Tennis(advance)	 |	0	 | 	T5T6	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205027	 | 	Tennis(advance)	 |	0	 | 	T7T8	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205058	 | 	Tennis(advance)	 |	0	 | 	W7W8	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205079	 | 	Tennis(advance)	 |	0	 | 	R7R8	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206021	 | 	Tennis(advance)	 |	0	 | 	T5T6	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206032	 | 	Tennis(advance)	 |	0	 | 	T7T8	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206057	 | 	Tennis(advance)	 |	0	 | 	W7W8	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206078	 | 	Tennis(advance)	 |	0	 | 	R7R8	 | 	PEC tennis court	 | 	Optional	 | 	 - 	 | 	Ball
